origin,listing_type,listing_id,title,price,price_raw,city,condition,series,manufacturer,processor,ram,storage,screen_size,description,date_advertised,date_last_seen_active,latitude,longitude,link
facebook,macbook,1816382869708043,MacBook Pro 13-inch,800,800 ₪,גני תקווה,משומש - במצב טוב,MacBook Pro,Apple,,,,,"MacBook Pro 13-inch
לא נעשה בו שימוש כמעט.
מצב מצויין
נמכר עקב חוסר שימוש","פורסם אתמול ב: גני תקווה, פתח תקווה",2026-09-12T10:00:32.894527+00:00,32.079122361385,34.816444062735,https://www.facebook.com/marketplace/item/1816382869708043/
facebook,macbook,1592584212218593,"MacBook M4 Pro 48GB 14""",7500,"7,500 ₪",תל אביב - יפו,משומש - כמו חדש,MacBook Pro,Apple,M4 Pro,48GB,512GB,14,"מחשב מקבוק פרו עם זכרון מורחב. כמו חדש.
היה בשימוש משרדי מועט מאד. נמכר בעקבות קבלת מחשב מהעבודה.
מעבד Apple M4 Pro (12-core CPU, 16-core GPU)
מסך 14 אינץ׳
זכרון 48GB
כונן קשיח 512GB SSD
בטריה במצב מעולה 100% - 77 מחזורי טעינה בלבד","פורסם לפני 3 שבועות ב: תל אביב - יפו, תל אביב",2026-09-12T10:00:32.894527+00:00,32.079122361385,34.816444062735,https://www.facebook.com/marketplace/item/1592584212218593/
facebook,macbook,2383620995507429,MacBook pro 16” M4 Pro 1Tb 48 Ram מקבוק פרו,8600,"8,600 ₪",תל אביב - יפו,משומש - כמו חדש,Apple MacBook Pro,Apple,M4 Pro,48GB,1TB,,"MacBook pro
Chip M4 Pro
Screen size: 16”
1TB אחסון SSD
48GB RAM!!
💯% בריאות סוללה
במצב חדש. מגיע עם מטען מקורי 140W וכבל מגסייף.
מתאים מאוד לעבודה עם Ai ותוכנות שדורשות מהירות ביצוע מקסימלית.
איסוף מתל אביב.
המחשב מוכן לשימוש מיידי (לאחר פירמוט.","פורסם אתמול ב: תל אביב - יפו, תל אביב",2026-09-12T10:00:32.894527+00:00,32.079122361385,34.816444062735,https://www.facebook.com/marketplace/item/2383620995507429/
facebook,macbook,2507895619714009,MacBook Pro 13 2017,500,500 ₪,תל אביב - יפו,משומש - במצב סביר,MacBook Pro,Apple,i7,16GB,,13,"לפטופ MacBook Pro בגדול 13 אינץ׳ מדגם 2017. מעבד i7 עם 16 גיגה זיכרון ו128 אחסון.
יש בעיה שהבטריה פורקת, חוץ מזה עובד מעולה.
נמכר ללא מטען
איסוף מתל אביב.","פורסם לפני שבוע ב: תל אביב - יפו, תל אביב",2026-09-12T10:00:32.894527+00:00,32.079122361385,34.816444062735,https://www.facebook.com/marketplace/item/2507895619714009/
facebook,macbook,1586017269376148,MacBook Pro 16 Inch 2019,800,800 ₪,פתח תקווה,משומש - במצב טוב,MacBook Pro,Apple,,4GB,,,"תקלה במסך בגלל מכה, לא עובד, פרט לכך המחשב סופר חזק ושמור והמקלדת באנגלית.
כולל:
כרטיס מסך AMD Radeon Pro 5500M 4GB
בתיאום מראש ניתן לאסוף מפתח תקווה, תל אביב, הרצליה או באר שבע","פורסם לפני 2 ימים ב: פתח תקווה, ישראל",2026-09-12T10:00:32.894527+00:00,32.079122361385,34.816444062735,https://www.facebook.com/marketplace/item/1586017269376148/
facebook,macbook,1060023570343482,"Apple MacBook Air 15 M4, 256GB SSD,16GB חדש לגמריי למכירה מקבוק אייר 15 באחריות עד אפריל 27 3600₪",3600,"3,600 ₪",תל אביב - יפו,חדש,MacBook Air,Apple,M4,16GB,256GB,,"---3609₪ מחיר אחרון, לא להחלפה! בבקשה לא לפנות סתם---
חדש לחלוטין וללא שריטה
היה בשימוש שעות בודדות
אחריות יבואן רשמי מעבדות DCS עד אפריל 27
100% בריאות סוללה, 14 מחזורי טעינה
צבע תכלת גודל 15' אינץ'
מוכר כי רוצה לחזור לווינדוס
איסוף מהצפון הישן בתל אביב
יינתן מספר סריאלי לרציניים
למפרט המלא: https://www.apple.com/il/macbook-air/","פורסם לפני 2 ימים ב: תל אביב - יפו, תל אביב",2026-09-12T10:00:32.894527+00:00,32.079122361385,34.816444062735,https://www.facebook.com/marketplace/item/1060023570343482/
facebook,macbook,1714291893204887,MacBook Pro 13״ M1 16GB RAM | 1TB SSD,1900,"1,900 ₪",פתח תקווה,משומש - כמו חדש,MacBook Pro,Apple,M1,16GB,1TB,13,"למכירה MacBook Pro 13״ M1
16GB RAM | 1TB SSD
שמור מאוד, ללא שריטות או מכות.
בריאות סוללה 96%
המחשב עובד מצוין, התקלה היא בכבל המסך הפנימי ולכן המסך מרצד/לא תקין.
עובד חצי מסך
בחיבור למסך חיצוני עובד רגיל.","פורסם לפני 5 ימים ב: פתח תקווה, ישראל",2026-09-12T10:00:32.894527+00:00,32.079122361385,34.816444062735,https://www.facebook.com/marketplace/item/1714291893204887/
facebook,macbook,1740095050550655,MacBook Air M1,1450,"1,450 ₪",תל אביב - יפו,משומש - כמו חדש,MacBook Air,Apple,M1,,256GB,,"MacBook Air M1 2020
8/256gb
מצב חדש לגמרי
ללא פגמים קוסמטיים
Cycle Count: 219
Condition: Normal
Maximum Capacity: 84%
מגיע עם מטען וכיסוי שקוף ששומר עליו
1450₪
איסוף תל אביב או איירפורט סיטי","פורסם לפני 3 ימים ב: תל אביב - יפו, תל אביב",2026-09-12T10:00:32.894527+00:00,32.079122361385,34.816444062735,https://www.facebook.com/marketplace/item/1740095050550655/
facebook,macbook,1964761174200379,"MacBook Pro M1 Pro 14"" 512 GB 16 GB RAM",2500,"2,500 ₪",תל אביב - יפו,משומש - במצב טוב,MacBook Pro,Apple,M1 Pro,16GB,512GB,14,"MacBook Pro 14"" 512 GB, 16GB RAM למכירה, איסוף מתל אביב. מקלדת פריסה אמריקאית ללא חריטה בעברית","פורסם לפני 33 דקות ב: תל אביב - יפו, TA",2026-09-12T10:00:32.894527+00:00,32.079122361385,34.816444062735,https://www.facebook.com/marketplace/item/1964761174200379/
facebook,macbook,1263874995736419,MacBook Air M1 | מצב מצוין,2000,"2,000 ₪3,200 ₪",תל אביב - יפו,משומש - כמו חדש,MacBook Air,Apple,M1,16GB,256GB,,"למכירה מקבוק אייר במצב מצוין, בשימוש אישי ושמור.
מפרט טכני:
• דגם: MacBook Air (M1, 2020)
• מעבד: Apple M1
• זיכרון: 16GB RAM (הגרסה המשודרגת!)
• אחסון: 256GB SSD
• מסך: 13.3” Retina ברזולוציית 2560x1600
• צבע: rose gold
איסוף מתל אביב","פורסם לפני 16 שבועות ב: תל אביב - יפו, תל אביב",2026-09-12T10:00:32.894527+00:00,32.079122361385,34.816444062735,https://www.facebook.com/marketplace/item/1263874995736419/
