origin,listing_type,listing_id,title,price,price_raw,city,condition,series,manufacturer,processor,ram,storage,screen_size,description,date_advertised,date_last_seen_active,latitude,longitude,link,views,ad_number,error
yad2,macbook,7607207362620,MacPro 13 I5/16GB/256GB,1299,"1,299 ₪",אלעד,כמו חדש,MacBook Pro,Apple,I5,16GB,256GB,13,"מלאי מוגבל! יפהפה! שנה אחריות! מתחרים בכל הצעה. MacBook Pro 13 2019 מעבד i5 זיכרון 16GB דיסק 256GB SSD כולל מטען מסך 13 אינץ מערכת MAC-OS SONOMA מצב חדש לגמרי היה בשימוש מועט בלבד! סוללה כחדשה אפשרות ל-2020 וכן i7 ול-500GB SSD אפשרות למשלוח. חברתנו קיימת מ-2008 תורמת ועוזרת לקהילה. תל אביב, הרצליה, בני ברק, ראשל""צ רמת גן. לא בשבת. מחשב נייד, יצרן: Apple, דגם: MACBOOK PRO.",,2026-09-11T11:36:40+00:00,,,https://www.yad2.co.il/market/item/7607207362620,,,
yad2,macbook,7672872173628,MacPro 13 I7/16GB/256G,1699,"1,699 ₪",אלעד,כמו חדש,MacBook Pro,Apple,I7,16GB,256GB,13,"מלאי מוגבל שנה אחריות! MacBook Pro 2020 מעבד -i7 / 16GB דיסק 256GB SSD כולל מטען TYPE-C מסך 13 אינץ מערכת MAC-OS מצב חדש לגמרי שמור. סוללה מצויינת!!! אפשרות שדרוג ל-500GB . מתחייבים למחיר הזול בישראל! חברתנו קיימת מ-2008 תורמת ועוזרת לקהילה. תל אביב, הרצליה, בני ברק, ראשל""צ רמת גן. לא בשבת. מחשב נייד, יצרן: Apple, דגם: MACBOOK PRO.",,2026-09-11T11:36:40+00:00,,,https://www.yad2.co.il/market/item/7672872173628,,,
yad2,macbook,9075234570300,MacBook,3500,"3,500 ₪",באר שבע,כמו חדש,MacBook Air,Apple,M3,8GB,256GB,13.6,למכירה MacBook Air M3 בגודל 13.6 אינץ' מעבד Apple M3 זיכרון 8GB אחסון 256GB SSD מצב מצוין ושמור מאוד בריאות סוללה 98 אחוז 65 מחזורי טעינה בלבד כולל מטען Apple מקורי 30W גמיש מעט לרציניים,,2026-09-11T11:36:40+00:00,,,https://www.yad2.co.il/market/item/9075234570300,,,
yad2,macbook,9066227335228,מקבוק פרו m3 כמעט חדש 36GB,7800,"7,800 ₪",בני ברק,כמו חדש,MacBook Pro,Apple,m3,36GB,,14,"מקבוק פרו 14 אינץ מעבד m3 חדש ממש בקושי היה בשימוש 39 מחזורי טעינה 100% בריאות סוללה 36 ג׳יגה ראם 512 ג׳יגה מקלדת עברית+ אנגלית מקורית מגיע עם מטען מקורי, כיסוי קשיח שקוף, שתי תיקי נשיאה. (גמישות קלה לרציניים במעמד המכירה)",,2026-09-11T11:36:40+00:00,,,https://www.yad2.co.il/market/item/9066227335228,,,
yad2,macbook,7983613673532,מחשב נייד מקבוק Air,1250,"1,250 ₪",גבעתיים,כמו חדש,MacBook Air,Apple,,,,,"מחשב חדש לגמרי ,לא היה בשימוש כלל.",,2026-09-11T11:36:40+00:00,,,https://www.yad2.co.il/market/item/7983613673532,,,
yad2,macbook,9076503707708,MacBook Pro 13-inch,800,800 ₪,גני תקווה,משומש,MacBook Pro,Apple,,,,,MacBook Pro 13-inch במצב מעולה. נמכר עקב חוסר שימוש.,,2026-09-11T11:36:40+00:00,,,https://www.yad2.co.il/market/item/9076503707708,,,
yad2,macbook,9075157762108,M1 MacBook -Air,1750,"1,750 ₪",הוד השרון,משומש,MacBook Air,Apple,M1,16GB,256GB,,"מחשב M1 MacBook Air ""13 256GB Hard-Disk Memory 16GB",,2026-09-11T11:36:40+00:00,,,https://www.yad2.co.il/market/item/9075157762108,,,
yad2,macbook,8815980937276,מק בוק אייר מ3,3800,"3,800 ₪",הסוללים,כמו חדש,MacBook Air,Apple,M3,16GB,,,"למכירה מק בוק אייר כונן ssd 512,זיכרון 16 גב ,צ׳יפ M3 עם אחריות עד 03/26",,2026-09-11T11:36:40+00:00,,,https://www.yad2.co.il/market/item/8815980937276,,,
yad2,macbook,9075546980412,Macbook Air M1  מקבוק אייר,1700,"1,700 ₪",ירושלים,משומש,MacBook Air,Apple,M1,8GB,256GB,13.3,"למכירה מחשב נייד מקבוק אייר עם מעבד אמ 1 בגודל 13.3 אינץ. מחשב שמור מאוד ונוח לעבודה. מפרט טכני: מעבד: אפל M1 זיכרון: 8 ג'יגה ראם אחסון: 256 ג'יגה SSD מסך: רטינה בגודל 13.3 אינץ סוללה: 93 אחוז בריאות סוללה, מחזיקה יום שלם תכונות נוספות: מקלדת מוארת וסורק טביעת אצבע מחשב מעולה לסטודנטים, עבודה משרדית ושימוש יומיומי. מחיר: 1700 שקלים, גמישה במחיר.",,2026-09-11T11:36:40+00:00,,,https://www.yad2.co.il/market/item/9075546980412,,,
yad2,macbook,9073963696188,מקבוק פרו MacBook Pro,1800,"1,800 ₪",ירושלים,משומש,MacBook Pro,Apple,i7,16GB,512GB,16,"למכירה: MacBook Pro 16"" (2019) במצב מעולה! מחשב חזק, שמור ועובד בצורה חלקה. מושלם למתכנתים, יוצרי תוכן, עורכי וידאו או סטודנטים שמחפשים מסך גדול וביצועים מעולים. דגם: MacBook Pro 16-inch, 2019 (כולל Touch Bar ומקש Escape פיזי). מעבד (CPU): Intel Core i7 זיכרון (RAM): 16GB אחסון: 512GB ssd מקלדת: מקורית באנגלית/עברית (Magic Keyboard הנוחה). צבע: אפור. מצב סוללה מעולה! רק 268 מחזורי טעינה",,2026-09-11T11:36:40+00:00,,,https://www.yad2.co.il/market/item/9073963696188,,,
