listing_type,link,sqm,rooms,description,price,elevator,mamad,parking,views,date_advertised,date_last_seen_active,listing_id,city,neighborhood,street,floor,property_type,ad_number,error
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/1kidzi9k,55,2.5,דירה חדשה מהנילונים. משופצת ומרשימה. שני חדרי שינה  ומרפסת גדולה קומת כניסה. בלב שכונת זכרון מאיר קרוב לכל מוסדות החינוך ובתי הכנסת. באזור דסלר. שכנים טובים,6000,False,False,False,,2026-09-01 00:26:23,2026-09-10T18:50:45+00:00,1kidzi9k,בני ברק,קרית הישיבה,הרב דסלר 23,0,דירה,43880413,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/3e8c75ui,90,3.5,"להשכרה בבלעדיות
ברחוב דניאל המעולה והמבוקש
דירת 3.5 חדרים ענקית של ""פעם""
סלון גדול
מטבח+חדר אוכל
ברחוב הכי ירוק ויפה בעיר
מול שדרה יפיפיה
כניסה מיידית
אפשרות לטווח ארוך",6000,False,False,False,,2025-12-15 15:21:21,2026-09-10T18:50:45+00:00,3e8c75ui,בני ברק,"הפועל המזרחי א', שיכון א'",דניאל,1,דירה,65344237,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/gcnl5xwx,105,4.5,מיידי,6000,True,True,True,,2026-06-25 10:54:17,2026-09-10T18:50:45+00:00,gcnl5xwx,בני ברק,שאר העיר,"לח""י",2,דירה,45584021,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/l67z2ni4,115,5.0,"חדשה להשכרה בבניין חדש 
דירת 5חד' מתוכננת היטב 
סלון גדול 
סוכה 
יח''ה 
במחיר מצחיק!!",6000,True,True,False,806,2026-07-12 00:43:41,2026-09-10T18:50:45+00:00,l67z2ni4,בני ברק,תל גיבורים,דב גרונר,1,דירה,59081620,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/lpapi2k9,104,3.5,"דירה בבניין בוטיק ויוקרתי
3.5 חדרים גדולה 
סלון מרווח
חדר סוכה ברמה גבוה 
מזגן בכל חדר 
קומה 3
חדשה מקבלן 
ממד 
2 שירותים
מרפסת גדולה +נקודת גז חיצונית",6000,True,True,True,,2026-09-10 19:26:52,2026-09-10T18:50:45+00:00,lpapi2k9,בני ברק,בני ברק צפון/איילת השחר,רח 600 11,3,דירה,72131541,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/slzp03zk,90,4.0,"דירת 4 חדרים ענקית (ללא תיווך!)
ברחוב אברבנאל המבוקש, במיקום מנצח ונגיש במיוחד - מרחק הליכה קצרצר מתחנת רכבת הקלה, חנויות ומוסדות חינוך.
בטיחות ונוחות - ממד, מעלית חניה פרטית, סורגים בכל החלונות, סוכה, חדרים גדולים במיוחד, ו- 3 כיווני אוויר מלאים באור ושמש",6000,True,True,True,,2026-08-18 09:53:31,2026-09-10T18:50:45+00:00,slzp03zk,בני ברק,פרדס כץ,אברבנאל 73,4,דירה,77028210,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/t1flt1s4,100,4.0,"טרומפלדור
דירת 4 חד'
100 מטר!
חדשה מהניילון!
מטבח ענק ומשודרג ברמה גבוהה!!
קומה 2
חזית
יחידת הורים!
3 שירותים 2 מקלחות
מרפסת שמש/סוכה
ב6000ש""ח
כניסה מיידית",6000,False,False,False,,2026-08-24 11:41:22,2026-09-10T18:50:45+00:00,t1flt1s4,בני ברק,פרדס כץ,טרומפלדור 31,2,דירה,99921751,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/z82yb33x,94,3.0,"דירה בקומה 5 מתוך 5 בבנין בוטיק, כולל חניה פרטית+מטען לרכב חשמלי. דירה מעוצבת וחדישה ומוארת מאד! חדר שינה הכולל יחידת הורים וחדר שינה נוסף. מרפסת מקסימה. במיקום נח מאד ליציאה מהעיר",6000,True,False,True,,2026-07-06 18:29:04,2026-09-10T18:50:45+00:00,z82yb33x,בני ברק,נחלת שמעון,עמק יזרעאל 3,5,דירה,62166634,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/dxxgn592,81,3.5,"דירה בגודל 81 מ""ר בלב בני ברק ברח' מיכה המבוקש!",6100,False,False,False,,2026-08-13 07:03:47,2026-09-10T18:50:45+00:00,dxxgn592,בני ברק,,מיכה,3,דירה,81469863,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/semtjrwv,112,4.0,"דירת 4 חד' נדירה !!! במתחם הסופרים 
רק 2 דיירים בקומה, חזית פינתית עם נוף מדהים
לטווח ארוך, כניסה מיידית,
סלון גדול מאד, מיזוג, אופציה לארונות עליונים במטבח,
סוכה גדולה במרפסת שיוצאת מהסלון.
הקודם זוכה",6100,True,True,True,,2026-09-02 09:30:29,2026-09-10T18:50:45+00:00,semtjrwv,בני ברק,שאר העיר,"לח""י",6,דירה,61294895,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/t4kaoqug,130,4.5,"ללא תיווך!!! 
להשכרה דירה חדשה מקבלן במתחם הסופרים דירת ארבעה וחצי חדרים ובנוסף מחסן גדול צמוד לדירה, דירה ענקית ומרווחת (גדולה מהסטנדרט),
סוויטת הורים,  וכולל חנייה תת קרקעית מתאימה לאורח חיים דתי",6100,True,True,True,,2026-09-02 17:13:08,2026-09-10T18:51:08+00:00,t4kaoqug,בני ברק,שאר העיר,"לח""י 25",5,דירה,48949978,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/c49g3nuy,100,4.0,"איזור טוב ומתפתח מאוד!!! מחיר מעולה!!! חזית,",6200,True,True,False,,2026-08-13 19:43:30,2026-09-10T18:51:08+00:00,c49g3nuy,בני ברק,יסודות,,3,דירה,58172170,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/khlvjdg7,112,4.0,"מתחם הסופרים בצפון בני ברק. דירה חדשה. מטבח גדול ומרווח. מחסן צמוד לדירה. חניה פרטית 
 תת קרקעית קרוב ממש לפארק ולבריכה מזגן בכל חדר חסכוני,
 קיים בדירה תנור בילד אין ואינדוקציה. צמוד לבית כנסת. בנין מטופח ומושקע נקי מאוד
מטופל עם חברת ניהול",6200,True,True,True,405,2026-08-05 23:41:04,2026-09-10T18:51:08+00:00,khlvjdg7,בני ברק,שאר העיר,"לח""י 25",3,דירה,73544667,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/w7c2hnmm,95,4.0,"להשכרה או מכירה דירה חדשה מקבלן
3 חדרי שינה וסלון 
מרפסת שמש
חדר עם תקרה נפתחת למרפסת סוכה 
מטבח כשר ומשודרג 
מקום ל2 כיורים ו2 תנורים
קולט אדים והכנה למדיח
2 חדרי שירותים 
ממ""ד
מזגן אלקטרה אינוורטר בכל חדר
סורגים בכל החלונות",6200,True,True,False,,2026-07-19 16:17:33,2026-09-10T18:51:08+00:00,w7c2hnmm,בני ברק,נחלת שמעון,הרב חי טייב 9,4,דירה,56176769,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/qlw2njah,107,4.5,"ישנה גישה מרחוב עורפי, לרדת כמה מדרגות.
בניין שמור ומטופח",6300,True,False,True,,2026-08-06 10:49:19,2026-09-10T18:51:08+00:00,qlw2njah,בני ברק,גבעת רוקח,"חת""ם סופר 5",3,דירה,51069529,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/q1gfqav0,108,4.5,"דירה 4.5 חדרים 3 חדרי שינה 1 מהם יחידת הורים עם חצי חדר שהוא עם גג נפתח לסוכה 
+ מטבח עליון מחסן צמוד לדירה + מרפסת 10 מטר 

חוזה לשנה + אופציה לעוד שנה
(התוכנית למכור תדירה בהזדמנות)  
( חלק מהתמונות הם מזמן מסירת הדירה",6350,True,True,True,,2026-08-27 08:11:09,2026-09-10T18:51:08+00:00,q1gfqav0,בני ברק,שאר העיר,"לח""י 27",3,דירה,84327350,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/16cem8ap,90,4.0,"דירה בני ברק החדשה
מרווחת 4 חדשים  
מיקום מרכזי. סוכה
בקרבת גני ילדים ומרכז מסחר
ותחבורה ציבורית",6400,True,True,True,,2026-08-23 06:52:54,2026-09-10T18:51:08+00:00,16cem8ap,בני ברק,שאר העיר,"לח""י 20",4,דירה,72673424,
