listing_type,link,sqm,rooms,description,price,rented_for,elevator,mamad,parking,tama38,views,date_advertised,date_last_seen_active,listing_id,city,neighborhood,street,floor,property_type,ad_number,error
sale,https://www.yad2.co.il/realestate/item/center-and-sharon/2cwr6vwv,90,4.0,"ללא עמלת תיווך !!!  למכירה | ברוט 14
דירת קרקע 4 חדרים",0,,False,False,False,False,217,2026-08-05 21:19:53,2026-09-10T13:46:54+00:00,2cwr6vwv,בני ברק,פרדס כץ,הרב ברוט,0,דירת גן,47533917,
sale,https://www.yad2.co.il/realestate/item/center-and-sharon/2kznd6bj,125,5.0,דירה עם נוף פתוח מול הפארק. חניה מקורה. מעלית שבת.,0,,True,True,True,False,,2026-08-25 00:12:55,2026-09-10T13:46:54+00:00,2kznd6bj,בני ברק,נחלת שמעון,פדרמן 9,7,גג/ פנטהאוז,56251328,
sale,https://www.yad2.co.il/realestate/item/center-and-sharon/2lyfxrqv,140,6.0,"ברחוב בעל שם טוב 
בבנין חדש ובוטיק 
דירת 6 חד 140 מ""ר קומה 3 
4 כיווני אוויר מרפסת יפה 
סלון ומטבח בנפרד 
2 יחידות הורים 
",0,,True,True,False,False,,2026-07-07 18:48:10,2026-09-10T13:54:51+00:00,2lyfxrqv,בני ברק,"הפועל המזרחי ד', שיכון ד'",,3,דירה,67273358,
sale,https://www.yad2.co.il/realestate/item/center-and-sharon/4hpjwp3j,75,3.0,"דירה חדשה מקבלן בבנין שאוכלס לפני שנה, הדירה בקומה 3, פונה לחזית ומוארת מאוד לאורך כל שעות היום. הדירה כוללת מרפסת שמש, ממ""ד, מטבח משודרג, מיזוג מיני מרכזי ובניין עם 2 מעליות. מיקום מצוין המכבים פינת הירקון, קרוב לבתי כנסת, מוסדות חינוך, תחבורה ציבורית ומרכזי קניות",0,,True,True,False,False,,2026-08-05 18:35:27,2026-09-10T13:54:51+00:00,4hpjwp3j,בני ברק,פרדס כץ,הירקון 86,3,דירה,53024302,
sale,https://www.yad2.co.il/realestate/item/center-and-sharon/8tx0ppsh,135,5.0,"במעונות ויז'ניץ.
4 חד' מרווחת יפהיפה חזית לגינה. מאווררת במיוחד- נוף פתוח. 
מרפסת.
יחידת דיור מושכרת",0,mentioned (amount unclear),True,True,False,False,,2026-05-31 14:08:40,2026-09-10T13:54:51+00:00,8tx0ppsh,בני ברק,קרית ויז'ניץ,,7,דירה,41709959,
sale,https://www.yad2.co.il/realestate/item/center-and-sharon/c8y4nmtk,150,6.0,"למכירה בבלעדיות ברימקס דופלקס מדהים בגודל כ 150 מטר הכולל 6 חדרים גדולים ומרווחים ,סלון ענק עם וטרינה גדולה ונוף פתוח מלא לכיוון מזרח, ממ""ד, 2 מקלחות,3 שירותים, בקומה השנייה מרפסת שמש ענקית כ 40 מטר, מטבח וסלון מופרדים
יש חניה בהסכמה, כיוון עורפי שקט מאוד
בניין איכותי עם שכנים איכותיים",0,,True,True,False,False,,2026-01-19 12:25:59,2026-09-10T13:54:51+00:00,c8y4nmtk,בני ברק,נווה אחיעזר א',"ד""ר נתן בירנבוים",4,דופלקס,81137474,
sale,https://www.yad2.co.il/realestate/item/center-and-sharon/c9znfknz,90,3.5,דירה חזיתית שמורה ומרווחת + אופציה לתוספת!!,0,,False,False,False,False,,2026-07-27 14:04:50,2026-09-10T13:54:51+00:00,c9znfknz,בני ברק,,"חזון אי""ש",2,דירה,83933131,
sale,https://www.yad2.co.il/realestate/item/center-and-sharon/iw9io2sb,85,3.0,"דירה חזיתית ישנה אופציה ממשית לתוספת בצד כ15 מ""ר ובניה בגג רעפים",0,,False,False,False,False,,2026-08-31 19:49:33,2026-09-10T13:54:51+00:00,iw9io2sb,בני ברק,"הפועל המזרחי ג', שיכון ג'",בארי,2,דירה,47426245,
sale,https://www.yad2.co.il/realestate/item/center-and-sharon/jzlzyxjn,120,5.0,דירה ענקית חזית ירוקה לשדרה פוטנציאל ענק,0,,False,False,False,False,,2026-02-19 22:08:45,2026-09-10T13:54:51+00:00,jzlzyxjn,בני ברק,"הפועל המזרחי ב', שיכון ב'",משה בגנו 28,3,דירה,77055685,
sale,https://www.yad2.co.il/realestate/item/center-and-sharon/oliptpg3,245,7.0,"דופלקס יוקרתי ומפנק במיוחד!  
בבנין בוטיק יוקרתי וחדיש. דירת 7 חד' מדהימה:
3 יחידות הורים.
מרפסת ענקית.
חניה.
חזית.
מטבח משודרג.
לרציניים בלבד!",0,,True,True,True,False,,2026-04-12 12:44:24,2026-09-10T13:54:51+00:00,oliptpg3,בני ברק,"הפועל המזרחי ה', שיכון ה'",,3,דופלקס,74525608,
sale,https://www.yad2.co.il/realestate/item/center-and-sharon/tjpuglkq,310,6.0,"מכירה, בית פרטי/ קוטג', בני ברק",0,,False,True,True,False,,2026-08-23 22:07:52,2026-09-10T13:54:51+00:00,tjpuglkq,בני ברק,יסודות,חיים לנדאו 16,0,בית פרטי/ קוטג',47757345,
sale,https://www.yad2.co.il/realestate/item/center-and-sharon/v9kx900y,86,4.0,דירה יפה נעימה  בבניין חדש נוף פתוח מואר,0,,True,True,False,False,,2026-07-19 13:04:25,2026-09-10T13:54:51+00:00,v9kx900y,בני ברק,הר שלום,צפת 11,3,דירה,64678900,
sale,https://www.yad2.co.il/realestate/item/center-and-sharon/wv4vkw1h,120,4.5,"בפרל דירת 4.5 חד' יפהפיה. 3כיווני אוויר, 
חדרים ענקיים
סוכה ענקית.
משופצת להכנס ולגור",0,,True,True,False,False,,2026-06-16 12:48:19,2026-09-10T13:54:51+00:00,wv4vkw1h,בני ברק,גבעת רוקח,חיים פרל,1,דירה,59704401,
sale,https://www.yad2.co.il/realestate/item/center-and-sharon/xjkmx1r5,150,5.0,דירה חדשה + חצר ענקית,0,,True,True,False,False,,2026-08-24 13:46:25,2026-09-10T13:54:51+00:00,xjkmx1r5,בני ברק,,הירקון,1,דירה,78624854,
